design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,triplet_default,P03,held_only,8,Sitting,1002,0.4779874213836478,0.4550898203592814,0.46625766871165647
random_rows,all10_default,Pooled,all_rows,1,Standing straight,5098,0.9370229007633588,0.9631227932522558,0.9498935964403175
random_rows,all10_default,Pooled,all_rows,2,Left arm raise,724,0.9549295774647887,0.93646408839779,0.9456066945606694
random_rows,all10_default,Pooled,all_rows,3,Right arm raise,720,0.9586894586894587,0.9347222222222222,0.9465541490857947
random_rows,all10_default,Pooled,all_rows,4,Left shoulder touch and twist,718,0.9416785206258891,0.9220055710306406,0.9317382125263899
random_rows,all10_default,Pooled,all_rows,5,Right shoulder touch and twist,720,0.9612625538020086,0.9305555555555556,0.9456598447424136
random_rows,all10_default,Pooled,all_rows,6,Both arms raise,720,0.96987087517934,0.9388888888888889,0.9541284403669724
random_rows,all10_default,Pooled,all_rows,7,Forward bend,721,0.9558404558404558,0.9306518723994452,0.9430780042164442
random_rows,all10_default,Pooled,all_rows,8,Sitting,720,0.972463768115942,0.9319444444444445,0.9517730496453901
random_rows,all10_default,Pooled,held_only,1,Standing straight,4222,0.966410076976907,0.9812884888678352,0.9737924550475966
random_rows,all10_default,Pooled,held_only,2,Left arm raise,587,0.9825479930191972,0.959114139693356,0.9706896551724138
random_rows,all10_default,Pooled,held_only,3,Right arm raise,611,0.9833055091819699,0.9639934533551555,0.9735537190082645
random_rows,all10_default,Pooled,held_only,4,Left shoulder touch and twist,611,0.9573070607553367,0.9541734860883797,0.9557377049180328
random_rows,all10_default,Pooled,held_only,5,Right shoulder touch and twist,603,0.9814814814814815,0.966832504145937,0.9741019214703426
random_rows,all10_default,Pooled,held_only,6,Both arms raise,615,0.9868204283360791,0.9739837398373984,0.9803600654664485
random_rows,all10_default,Pooled,held_only,7,Forward bend,608,0.9817275747508306,0.9720394736842105,0.9768595041322314
random_rows,all10_default,Pooled,held_only,8,Sitting,609,0.984873949579832,0.9622331691297209,0.9734219269102992
random_rows,all10_default,P01,all_rows,1,Standing straight,1695,0.9428406466512702,0.9634218289085545,0.9530201342281879
random_rows,all10_default,P01,all_rows,2,Left arm raise,244,0.9545454545454546,0.9467213114754098,0.9506172839506174
random_rows,all10_default,P01,all_rows,3,Right arm raise,240,0.9789915966386554,0.9708333333333333,0.9748953974895397
random_rows,all10_default,P01,all_rows,4,Left shoulder touch and twist,240,0.9344262295081968,0.95,0.9421487603305784
random_rows,all10_default,P01,all_rows,5,Right shoulder touch and twist,240,0.9615384615384616,0.9375,0.9493670886075949
random_rows,all10_default,P01,all_rows,6,Both arms raise,240,0.9623430962343096,0.9583333333333334,0.9603340292275573
random_rows,all10_default,P01,all_rows,7,Forward bend,241,0.960352422907489,0.9045643153526971,0.9316239316239316
random_rows,all10_default,P01,all_rows,8,Sitting,240,0.9732142857142857,0.9083333333333333,0.9396551724137931
random_rows,all10_default,P01,held_only,1,Standing straight,1397,0.9546089385474861,0.9785254115962777,0.9664192294096854
random_rows,all10_default,P01,held_only,2,Left arm raise,199,0.9639175257731959,0.9396984924623115,0.9516539440203563
random_rows,all10_default,P01,held_only,3,Right arm raise,203,0.99,0.9753694581280788,0.9826302729528535
random_rows,all10_default,P01,held_only,4,Left shoulder touch and twist,208,0.9660194174757282,0.9567307692307693,0.961352657004831
random_rows,all10_default,P01,held_only,5,Right shoulder touch and twist,199,0.9698492462311558,0.9698492462311558,0.9698492462311558
random_rows,all10_default,P01,held_only,6,Both arms raise,202,0.9949238578680203,0.9702970297029703,0.9824561403508772
random_rows,all10_default,P01,held_only,7,Forward bend,200,0.9639175257731959,0.935,0.949238578680203
random_rows,all10_default,P01,held_only,8,Sitting,207,0.9844559585492227,0.9178743961352657,0.95
random_rows,all10_default,P02,all_rows,1,Standing straight,1701,0.934323243860651,0.9617871840094062,0.9478563151796059
