design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,triplet_default,Pooled,all_rows,1,Standing straight,25486,0.4997757460755563,0.5683904888958644,0.5318793486442327
grouped_repetitions,triplet_default,Pooled,all_rows,2,Left arm raise,3624,0.32157226864747757,0.2866997792494481,0.30313639679066373
grouped_repetitions,triplet_default,Pooled,all_rows,3,Right arm raise,3598,0.41571139581928523,0.3426903835464147,0.3756855575868373
grouped_repetitions,triplet_default,Pooled,all_rows,4,Left shoulder touch and twist,3593,0.3481524249422633,0.3356526579460061,0.3417882953096217
grouped_repetitions,triplet_default,Pooled,all_rows,5,Right shoulder touch and twist,3600,0.28278221208665905,0.20666666666666667,0.23880597014925373
grouped_repetitions,triplet_default,Pooled,all_rows,6,Both arms raise,3600,0.33436853002070394,0.26916666666666667,0.29824561403508776
grouped_repetitions,triplet_default,Pooled,all_rows,7,Forward bend,3601,0.4106743368488335,0.3568453207442377,0.3818722139673105
grouped_repetitions,triplet_default,Pooled,all_rows,8,Sitting,3599,0.29025610833088017,0.2739649902750764,0.28187535734705543
grouped_repetitions,triplet_default,Pooled,held_only,1,Standing straight,21001,0.5113087572440438,0.6049711918480072,0.5542105607537786
grouped_repetitions,triplet_default,Pooled,held_only,2,Left arm raise,2995,0.32432432432432434,0.28046744574290483,0.3008057296329454
grouped_repetitions,triplet_default,Pooled,held_only,3,Right arm raise,2995,0.4971072541165999,0.3729549248747913,0.42617321632964517
grouped_repetitions,triplet_default,Pooled,held_only,4,Left shoulder touch and twist,3001,0.3845045045045045,0.35554815061646117,0.36945983379501385
grouped_repetitions,triplet_default,Pooled,held_only,5,Right shoulder touch and twist,3005,0.2928849902534113,0.2,0.23769033023531738
grouped_repetitions,triplet_default,Pooled,held_only,6,Both arms raise,3006,0.35207721359630717,0.2791084497671324,0.311375023195398
grouped_repetitions,triplet_default,Pooled,held_only,7,Forward bend,3001,0.4546881129854845,0.3862045984671776,0.41765765765765767
